Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Ramp1,"RAMP (1800, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp2,"RAMP (1800, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp3,"RAMP (1100, 20, 200, 2)",Long,1,RO,1000,,,,,,,,,,bb2,
Ramp4,"RAMP (900, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp5,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp6,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp7,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp8,"RAMP (1400, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp9,"RAMP (1900, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp10,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp11,"RAMP (1900, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp12,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp13,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp14,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp15,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp16,"RAMP (500, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp17,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp18,"RAMP (1700, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp19,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp20,"RAMP (1900, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp21,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp22,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp23,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp24,"RAMP (900, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp25,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp26,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp27,"RAMP (900, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp28,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp29,"RAMP (1200, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp30,"RAMP (900, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp31,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp32,"RAMP (400, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp33,"RAMP (1600, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
